area_id,microdata_id
d16,d106_hh43
d16,d107_hh144
d16,d203_hh84
d16,d79_hh100
d16,d49_hh231
d16,d295_hh18
d16,d205_hh237
d16,d103_hh181
d16,d12_hh115
d16,d176_hh53
d16,d187_hh263
d16,d229_hh12
d16,d216_hh186
d16,d19_hh174
d16,d108_hh207
d16,d119_hh223
d16,d53_hh53
d16,d60_hh24
d16,d284_hh220
d16,d49_hh71
d16,d200_hh220
d16,d82_hh241
d16,d30_hh42
d16,d119_hh212
d16,d210_hh59
d16,d284_hh53
d16,d198_hh228
d16,d295_hh166
d16,d36_hh3
d16,d185_hh167
d16,d254_hh102
d16,d200_hh18
d16,d176_hh17
d16,d133_hh35
d16,d244_hh184
d16,d94_hh161
d16,d251_hh47
d16,d5_hh26
d16,d36_hh3
d16,d251_hh54
d16,d159_hh210
d16,d216_hh115
d16,d159_hh201
d16,d55_hh60
d16,d203_hh84
d16,d19_hh131
d16,d13_hh46
d16,d16_hh78
d16,d180_hh60
d16,d55_hh60
d16,d257_hh216
d16,d130_hh208
d16,d137_hh1
d16,d198_hh4
d16,d130_hh111
d16,d19_hh131
d16,d152_hh53
d16,d135_hh141
d16,d185_hh167
d16,d295_hh166
d16,d210_hh197
d16,d251_hh147
d16,d185_hh117
d16,d59_hh122
d16,d251_hh47
d16,d148_hh77
d16,d55_hh256
d16,d36_hh166
d16,d257_hh77
d16,d246_hh239
d16,d11_hh114
d16,d130_hh208
d16,d40_hh200
d16,d49_hh119
d16,d246_hh251
d16,d187_hh66
d16,d263_hh209
d16,d36_hh193
d16,d11_hh169
d16,d30_hh126
d16,d254_hh126
d16,d187_hh227
d16,d274_hh199
d16,d106_hh48
d16,d210_hh79
d16,d73_hh121
d16,d210_hh76
d16,d132_hh44
d16,d13_hh46
d16,d295_hh249
d16,d40_hh167
d16,d79_hh100
d16,d284_hh53
d16,d229_hh225
d16,d200_hh220
d16,d82_hh277
d16,d94_hh26
d16,d187_hh66
d16,d176_hh17
d16,d203_hh84
d16,d170_hh18
d16,d176_hh113
d16,d246_hh239
d16,d51_hh11
d16,d51_hh11
d16,d97_hh106
d16,d251_hh147
d16,d13_hh46
d16,d60_hh24
d16,d244_hh28
d16,d210_hh197
d16,d132_hh243
d16,d99_hh67
d16,d127_hh242
d16,d38_hh230
d16,d169_hh71
d16,d19_hh131
d16,d106_hh48
d16,d53_hh245
d16,d119_hh215
d16,d94_hh26
d16,d43_hh153
d16,d102_hh197
d16,d179_hh185
d16,d187_hh66
d16,d203_hh103
d16,d295_hh220
d16,d266_hh10
d16,d216_hh28
d16,d103_hh181
d16,d102_hh197
d16,d256_hh254
d16,d244_hh28
d16,d180_hh29
d16,d180_hh29
d16,d108_hh104
d16,d73_hh210
d16,d198_hh228
d16,d246_hh255
d16,d11_hh169
d16,d248_hh27
d16,d102_hh84
d16,d99_hh67
d16,d257_hh77
d16,d49_hh32
d16,d46_hh244
d16,d152_hh138
d16,d246_hh251
d16,d251_hh47
d16,d133_hh35
d16,d117_hh72
d16,d182_hh64
d16,d102_hh197
d16,d176_hh113
d16,d295_hh220
d16,d187_hh263
d16,d5_hh26
d16,d203_hh84
d16,d130_hh111
d16,d159_hh210
d16,d73_hh121
d16,d257_hh25
d16,d67_hh87
d16,d180_hh243
d16,d119_hh203
d16,d180_hh73
d16,d257_hh179
d16,d8_hh99
d16,d152_hh138
d16,d251_hh147
d16,d274_hh199
d16,d210_hh76
d16,d82_hh277
d16,d295_hh18
d16,d36_hh168
d16,d176_hh113
d16,d143_hh124
d16,d229_hh225
d16,d82_hh253
d16,d284_hh220
d16,d143_hh175
d16,d99_hh89
d16,d244_hh28
d16,d147_hh193
d16,d256_hh252
d16,d170_hh18
d16,d102_hh84
d16,d295_hh187
d16,d180_hh233
d16,d119_hh203
d16,d182_hh2
d16,d43_hh175
d16,d295_hh107
d16,d176_hh53
d16,d295_hh146
d16,d15_hh131
d16,d187_hh66
d16,d127_hh175
d16,d13_hh227
d16,d244_hh28
d16,d266_hh10
d16,d159_hh210
d16,d251_hh43
d16,d94_hh26
d16,d246_hh207
d16,d295_hh166
d16,d79_hh100
d16,d251_hh90
d16,d51_hh11
d16,d254_hh126
d16,d263_hh209
d16,d180_hh233
d16,d203_hh10
d16,d216_hh186
d16,d200_hh220
d16,d133_hh175
d16,d180_hh73
d16,d36_hh3
d16,d176_hh17
d16,d73_hh121
d16,d102_hh22
d16,d248_hh4
d16,d176_hh45
d16,d254_hh208
d16,d43_hh188
d16,d266_hh10
d16,d254_hh102
d16,d250_hh64
d16,d295_hh107
d16,d216_hh115
d16,d248_hh18
d16,d152_hh53
d16,d182_hh64
d16,d36_hh166
d16,d16_hh91
d16,d225_hh201
d16,d49_hh21
d16,d38_hh230
d16,d143_hh175
d16,d130_hh208
d16,d135_hh28
d16,d274_hh138
d16,d132_hh44
d16,d46_hh244
d16,d209_hh261
d16,d209_hh261
d16,d53_hh219
d16,d229_hh244
d16,d266_hh62
d16,d159_hh201
d16,d148_hh119
d16,d229_hh211
d16,d266_hh101
d16,d130_hh111
d16,d254_hh102
d16,d254_hh208
d16,d133_hh35
d16,d103_hh181
d16,d216_hh115
d16,d36_hh3
d16,d103_hh181
d16,d73_hh121
d16,d108_hh207
d16,d256_hh254
d16,d38_hh230
d16,d108_hh207
d16,d99_hh67
d16,d210_hh59
d16,d254_hh208
d16,d79_hh184
d16,d102_hh57
d16,d43_hh175
d16,d203_hh84
d16,d107_hh144
d16,d94_hh26
d16,d103_hh96
d16,d12_hh115
d9,d123_hh152
d9,d153_hh23
d9,d177_hh291
d9,d71_hh67
d9,d234_hh156
d9,d136_hh266
d9,d54_hh50
d9,d162_hh37
d9,d44_hh222
d9,d41_hh80
d9,d219_hh68
d9,d123_hh86
d9,d222_hh164
d9,d87_hh18
d9,d288_hh234
d9,d228_hh6
d9,d196_hh140
d9,d177_hh251
d9,d136_hh175
d9,d124_hh237
d9,d153_hh23
d9,d222_hh164
d9,d120_hh84
d9,d120_hh84
d9,d249_hh262
d9,d2_hh87
d9,d204_hh290
d9,d124_hh36
d9,d120_hh84
d9,d249_hh262
d9,d193_hh5
d9,d123_hh86
d9,d155_hh44
d9,d193_hh5
d9,d122_hh112
d9,d54_hh244
d9,d153_hh79
d9,d124_hh36
d9,d196_hh234
d9,d37_hh157
